[2026-09-17 00:43:08] [INFO    ] discord.client: logging in using static token
[2026-09-17 00:43:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-09-17 00:43:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-09-17 00:43:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '902500737362313236', 'username': 'Yapometer', 'avatar': 'f4901a97bafccdb8296b59c43a758f2a', 'discriminator': '1294', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-09-17 00:43:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-09-17 00:43:09] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-09-17 00:43:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '902500737362313236', 'name': 'Yapometer', 'icon': 'b6dc2ac781af67011bb6563e00a55597', 'description': 'Counts individual message counts over time to show rankings and trends.', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'flags': 10518528, 'flags_new': '10518528', 'bot': {'id': '902500737362313236', 'username': 'Yapometer', 'avatar': 'f4901a97bafccdb8296b59c43a758f2a', 'discriminator': '1294', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': '22911e146af17598aec28fe75d27a1b23a6108197b34acb4173653d10fb5a2dd', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '697435798601203775', 'username': 'ishan3000', 'avatar': 'aebaf39e42722f130ada3586c3e36c7b', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 2752602, 'global_name': 'Ishan3000', 'avatar_decoration_data': {'asset': 'a_e90ebc0114e7bdc30353c8b11953ea41', 'sku_id': '1197344326133502032', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': '#2a005a', 'clan': {'identity_guild_id': '1412971287382331437', 'identity_enabled': True, 'tag': 'FAB', 'badge': '0ddc8551281c996e0b768f68d3a75ace'}, 'primary_guild': {'identity_guild_id': '1412971287382331437', 'identity_enabled': True, 'tag': 'FAB', 'badge': '0ddc8551281c996e0b768f68d3a75ace'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'private_channel_obfuscation_enabled': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 452, 'monetization_state': 1, 'verification_eligibility_flags': 90908, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets', 'eligible_oauth2_scopes': ['applications.builds.read', 'applications.commands', 'applications.commands.permissions.update', 'applications.entitlements', 'applications.store.update', 'bot', 'connections', 'email', 'gdm.join', 'guilds', 'guilds.join', 'guilds.members.read', 'identify', 'messages.read', 'openid', 'role_connections.write', 'rpc', 'rpc.activities.write', 'rpc.notifications.read', 'rpc.screenshare.read', 'rpc.screenshare.write', 'rpc.video.read', 'rpc.video.write', 'rpc.voice.read', 'rpc.voice.write', 'webhook.incoming']}
[2026-09-17 00:43:10] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-09-17 00:43:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-aws-us-east-1-prd-67bdb5657-f2gl5",{"micros":0.0}]']}}
[2026-09-17 00:43:10] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-09-17 00:43:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
